Gene chr pos REF HET VAR lethal additive recessive dominant TDT Penetrance_REF Penetrance_HET Penetrance_VAR Semidominance NMISS lethalCount
Gm1332 2 157095305 77 3 0 0.0611550047906349 0.421816200216759 1 0.421816200216759 NA NA NA NA NA 0 0:6:0:8
Plcg1 2 160753363 73 7 0 1 0.341044636048949 1 0.341044636048949 NA NA NA NA NA 0 0:0:0:0
Ocstamp 2 165397852 74 4 2 0.932652771472931 0.499640355476539 0.918440446400229 0.37070716894495 NA NA NA NA 1 0 0:0:2:8
Znfx1 2 167047654 73 7 0 1 0.233882179174789 1 0.233882179174789 NA NA NA NA NA 0 0:0:0:0
Myt1 2 181782615 73 7 0 1 0.33364038310422 1 0.33364038310422 NA NA NA NA NA 0 0:0:0:0
Car3 3 14866804 75 5 0 0.343608915805817 0.261708523940234 1 0.261708523940234 NA NA NA NA NA 0 0:0:0:8
Cp 3 19971082 75 5 0 0.392695903778076 0.787693978016102 1 0.787693978016102 NA NA NA NA NA 0 0:0:0:7
Cpa3 3 20225194 77 1 2 0.953690052032471 0.419948018168729 0.496560918688999 0.401804857363679 NA NA NA NA 0.980249021492172 0 0:0:2:7
Anxa5 3 36460488 76 4 0 0.932652771472931 0.823875343448884 1 0.823875343448884 NA NA NA NA NA 0 0:0:2:8
Med12l 3 59037702 76 4 0 0.343608915805817 0.299877823525896 1 0.299877823525896 NA NA NA NA NA 0 0:0:0:8
Lxn 3 67461002 57 23 0 0.0178179480135441 0.824450972555068 1 0.824450972555068 NA NA NA NA NA 0 0:14:0:0
Smc4 3 69022461 57 23 0 0.0178179480135441 0.824450972555068 1 0.824450972555068 NA NA NA NA NA 0 0:14:0:0
Sh3d19 3 86114906 76 4 0 0.343608915805817 0.299877823525896 1 0.299877823525896 NA NA NA NA NA 0 0:0:0:8
Gpr89 3 96897324 74 5 1 0.73828125 0.185340462582747 0.221151436350988 0.270403650121598 NA NA NA NA 0.241765775326144 0 1:4:0:0
Hsd3b5 3 98619404 77 3 0 0.343608915805817 0.782901100213141 1 0.782901100213141 NA NA NA NA NA 0 0:0:0:8
Rbm15 3 107330938 76 3 1 0.98875218629837 0.213240057564136 0.274698688373829 0.275887806867751 NA NA NA NA 0.336107574742518 0 0:0:3:8
Sort1 3 108348630 77 2 1 0.736304819583893 0.58535458053334 0.393976905393648 0.782901100213141 NA NA NA NA 0 0 0:0:1:8
D3Bwg0562e 3 117323091 75 4 1 0.98875218629837 0.122772947086224 0.274698688373829 0.147337973830001 NA NA NA NA 0.48638770410414 0 0:0:3:8
Ccdc109b 3 129918726 79 1 0 0.392695903778076 0.39647457711624 1 0.39647457711624 NA NA NA NA NA 0 0:0:0:7
Cenpe 3 135246586 77 2 1 0.736304819583893 0.410146238125387 0.393976905393648 0.50423240907004 NA NA NA NA 0.186539737924934 0 0:0:1:8
Ptgfr 3 151835202 78 1 1 0.736304819583893 0.47690888099389 0.393976905393648 0.601746180015326 NA NA NA NA 0 0 0:0:1:8
Msh4 3 153896895 78 2 0 0.392695903778076 0.475301105793461 1 0.475301105793461 NA NA NA NA NA 0 0:0:0:7
Epha7 4 28821104 75 4 1 0.785391807556152 0.690640542936673 0.78398307455507 0.524351366685029 NA NA NA NA 0 0 0:0:1:7
Nol6 4 41121115 76 4 0 0.392695903778076 0.976388561141215 1 0.976388561141215 NA NA NA NA NA 0 0:0:0:7
Gba2 4 43570424 73 6 1 0.244025230407715 0.173292661189743 0.221151436350988 0.253882274128844 NA NA NA NA 0.242959771669331 0 1:10:0:0
Anks6 4 47033167 76 3 1 0.785391807556152 0.594012597279105 0.870193159078632 0.532372674108869 NA NA NA NA 1 0 0:0:1:7
Acnat1 4 49451003 44 29 7 0.289705842157741 0.678629277180916 0.206981481422161 0.864213020270663 NA NA NA NA 0 0 7:36:0:0
Tnc 4 64008734 71 8 1 0.126705408096313 0.185901574909451 0.221151436350988 0.276363455226142 NA NA NA NA 0.205039839989728 0 1:13:0:0
Bnc2 4 84293196 74 6 0 1 0.491203554826629 1 0.491203554826629 NA NA NA NA NA 0 0:0:0:0
Adamtsl1 4 86418552 47 27 6 0.277871665382203 0.506750114476673 0.387609560942625 0.695265725642011 NA NA NA NA 0.0674323404977481 0 6:32:0:0
Rraga 4 86576217 78 2 0 0.343608915805817 0.937392315717712 1 0.937392315717712 NA NA NA NA NA 0 0:0:0:8
Cyp2j6 4 96526023 77 2 1 0.932652771472931 0.0745126645091486 0.274698688373829 0.0594870460868288 NA NA NA NA 0.976072849153664 0 0:0:2:8
Inadl 4 98568987 75 3 2 0.98875218629837 0.0745126645091486 0.0970002666372686 0.0594870460868288 NA NA NA NA 0.976072849153664 0 0:0:3:8
Wdr78 4 103072857 73 4 3 0.98875218629837 0.166710350537424 0.0970002666372686 0.326105453888627 NA NA NA NA 0 0 0:0:3:8
C8b 4 104793380 45 26 9 0.736659037498346 0.479423083179402 0.502025317683445 0.579498591205935 NA NA NA NA 0.291252668241736 0 9:32:0:0
C8a 4 104856492 78 2 0 0.392695903778076 0.901951406972513 1 0.901951406972513 NA NA NA NA NA 0 0:0:0:7
Urod 4 116991276 74 6 0 1 0.269033931510465 1 0.269033931510465 NA NA NA NA NA 0 0:0:0:0
Rnf19b 4 129073551 77 3 0 0.392695903778076 0.669043084605774 1 0.669043084605774 NA NA NA NA NA 0 0:0:0:7
Snrnp40 4 130362658 57 19.5 3.5 0.0493835126475735 0.00344608293689329 3.13054549650445e-12 0.245357360963285 NA NA NA NA 0.227228662241193 0 0:0:2:8
Pum1 4 130728104 77 3 0 0.392695903778076 0.669043084605774 1 0.669043084605774 NA NA NA NA NA 0 0:0:0:7
Mfn2 4 147885526 74 4 2 0.975511961049051 0.400484182790423 0.766777483796213 0.307227414740146 NA NA NA NA 1 0 2:6:3:8
Dvl1 4 155854775 74 6 0 0.343608915805817 0.263296748650313 1 0.263296748650313 NA NA NA NA NA 0 0:0:0:8
Tnfrsf18 4 156026529 74 5 1 0.736304819583893 0.384068079051771 0.910226139732622 0.263296748650313 NA NA NA NA 0 0 0:0:1:8
Ankib1 5 3772529 75 5 0 0.392695903778076 0.558690393435371 1 0.558690393435371 NA NA NA NA NA 0 0:0:0:7
Pclo 5 14669656 76 4 0 0.343608915805817 0.424199199219707 1 0.424199199219707 NA NA NA NA NA 0 0:0:0:8
Pion 5 21253951 76 4 0 0.343608915805817 0.424199199219707 1 0.424199199219707 NA NA NA NA NA 0 0:0:0:8
4930548H24Rik 5 31485968 72 6 2 0.75640869140625 0.0977102195599424 0.201903683570632 0.121059894284781 NA NA NA NA 0.476558237940233 0 2:7:0:0
Slbp 5 33645489 72 6 2 0.75640869140625 0.0977102195599424 0.201903683570632 0.121059894284781 NA NA NA NA 0.476558237940233 0 2:7:0:0
Add1 5 34605853 77 3 0 0.343608915805817 0.999208601727719 1 0.999208601727719 NA NA NA NA NA 0 0:0:0:8
Sorcs2 5 36065433 77 3 0 0.343608915805817 0.999208601727719 1 0.999208601727719 NA NA NA NA NA 0 0:0:0:8
Cc2d2a 5 43730029 77 3 0 0.343608915805817 0.999208601727719 1 0.999208601727719 NA NA NA NA NA 0 0:0:0:8
Tapt1 5 44177106 74 4 2 0.932652771472931 0.304811466262538 0.886989744294188 0.170495726708858 NA NA NA NA 1 0 0:0:2:8
Anapc4 5 52845419 77 3 0 0.343608915805817 0.999208601727719 1 0.999208601727719 NA NA NA NA NA 0 0:0:0:8
G6pd2 5 61810171 76 2 2 0.953690052032471 0.512073945087884 0.511513405811449 0.568711814187381 NA NA NA NA 0.240391212706103 0 0:0:2:7
Phox2b 5 67096214 76 2 2 0.953690052032471 0.512073945087884 0.511513405811449 0.568711814187381 NA NA NA NA 0.240391212706103 0 0:0:2:7
Guf1 5 69558580 76 3 1 0.736304819583893 0.749107732514957 0.707154788901976 0.815294467544798 NA NA NA NA 0.0966705534116857 0 0:0:1:8
Ugt2b34 5 86893732 75 5 0 0.343608915805817 0.275535326881453 1 0.275535326881453 NA NA NA NA NA 0 0:0:0:8
Ugt2b5 5 87137365 58 16.5 5.5 0.72650621152923 0.0230561857538978 0.00841198634290438 0.128871687460917 NA NA NA NA 0.132677652567387 0 7:25:0:0
Slc4a4 5 89129641 76 2 2 0.953690052032471 0.512073945087884 0.511513405811449 0.568711814187381 NA NA NA NA 0.240391212706103 0 0:0:2:7
Ptpn13 5 103489765 50 24 6 0.825124116017832 0.0257330877156156 0.00507620602838917 0.16381909185541 NA NA NA NA 0.0838595962101259 0 6:19:0:0
Pptc7 5 122313591 77 1 2 0.953690052032471 0.436174671093269 0.511513405811449 0.416931218505862 NA NA NA NA 1 0 0:0:2:7
Pitpnm2 5 124140517 49 27 4 0.465424290494411 0.236510151364029 0.969682283794821 0.156810303179416 NA NA NA NA 1 0 4:19:0:0
Rimbp2 5 128803861 75 4 1 0.771671693102689 0.445217782624708 0.274698688373829 0.639296389461425 NA NA NA NA 0 0 0:6:3:8
Cct6a 5 129791570 69 8 3 0.584252715110779 0.286361334552504 0.418503048717177 0.321902854823449 NA NA NA NA 0.491278770823239 0 3:13:0:0
Gtf2ird2 5 134211242 54 23 3 0.584252715110779 0.483042009940413 0.976357528163374 0.4136484173103 NA NA NA NA 1 0 3:13:0:0
Gtf2i 5 134261837 69 7 4 0.793961897492409 0.380321223403311 0.658202865825326 0.321902854823449 NA NA NA NA 1 0 4:13:0:0
Cldn13 5 134914747 75 4 1 0.785391807556152 0.730795042639638 0.78398307455507 0.573478245657711 NA NA NA NA 0 0 0:0:1:7
Fis1 5 136962194 69 7 4 0.793961897492409 0.380321223403311 0.658202865825326 0.321902854823449 NA NA NA NA 1 0 4:13:0:0
Cnpy4 5 138192577 54 23 3 0.584252715110779 0.483042009940413 0.976357528163374 0.4136484173103 NA NA NA NA 1 0 3:13:0:0
Sun1 5 139226699 76 4 0 0.343608915805817 0.915975292766907 1 0.915975292766907 NA NA NA NA NA 0 0:0:0:8
Gna12 5 140760883 54 23 3 0.584252715110779 0.596193550802851 0.976357528163374 0.539406574995366 NA NA NA NA 1 0 3:13:0:0
Tecpr1 5 144207476 76 4 0 0.932652771472931 0.915975292766907 1 0.915975292766907 NA NA NA NA NA 0 0:0:2:8
Trrap 5 144816339 76 4 0 0.932652771472931 0.915975292766907 1 0.915975292766907 NA NA NA NA NA 0 0:0:2:8
Cyp3a11 5 145862452 76 4 0 0.932652771472931 0.915975292766907 1 0.915975292766907 NA NA NA NA NA 0 0:0:2:8
Asb15 6 24566164 73 6 1 0.244025230407715 0.78752420625431 0.608021466409244 0.596452437626817 NA NA NA NA 0 0 1:10:0:0
Rbm28 6 29158928 75 5 0 0.253356448418344 0.671515956463575 1 0.671515956463575 NA NA NA NA NA 0 0:6:1:8
Zc3hc1 6 30372790 75 5 0 0.253356448418344 0.671515956463575 1 0.671515956463575 NA NA NA NA NA 0 0:6:1:8
Mkln1 6 31478018 75 5 0 0.253356448418344 0.671515956463575 1 0.671515956463575 NA NA NA NA NA 0 0:6:1:8
Olfr450 6 42818292 74 6 0 0.530010041518835 0.395005633700275 1 0.395005633700275 NA NA NA NA NA 0 0:6:2:8
Vmn1r33 6 66612137 74 6 0 0.343608915805817 0.351758844677071 1 0.351758844677071 NA NA NA NA NA 0 0:0:0:8
Mgll 6 88725817 75 5 0 0.343608915805817 0.408077816421727 1 0.408077816421727 NA NA NA NA NA 0 0:0:0:8
Hspbp1 7 4684432 55 19 6 0.785781947601208 0.104667653974861 0.723497463693856 0.0464808797222201 NA NA NA NA 1 0 6:20:0:0
6330408A02Rik 7 13261026 55 19 6 0.785781947601208 0.0920690209852017 0.723497463693856 0.0379493104481258 NA NA NA NA 1 0 6:20:0:0
Ceacam5 7 17714963 73 5 2 0.932652771472931 0.280161336198243 0.57942865019484 0.239257432427758 NA NA NA NA 1 0 0:0:2:8
Zfp93 7 24275861 78 0 2 0.914762914224411 0.121138611359264 0.121138611359264 0.121138611359264 NA NA NA NA NA 0 2:6:2:8
Cyp2s1 7 25809258 73 4 3 0.775875091552734 0.459227653072024 0.842017309169587 0.320536482302066 NA NA NA NA 1 0 3:10:0:0
Cyp2t4 7 27158246 75 3 2 0.953690052032471 0.809933011299481 0.857168315598867 0.809568535009693 NA NA NA NA 0.718723752409752 0 0:0:2:7
BC024978 7 27202647 70 10 0 0.421875 0.203731466219865 1 0.203731466219865 NA NA NA NA NA 0 0:3:0:0
Pld3 7 27539575 76 4 0 0.343608915805817 0.619197301689095 1 0.619197301689095 NA NA NA NA NA 0 0:0:0:8
Ggn 7 29173022 78 1 1 0.771671693102689 0.14388175538336 0.282487241765817 0.121138611359264 NA NA NA NA 1 0 1:6:2:8
Sipa1l3 7 29387251 76 4 0 0.343608915805817 0.619197301689095 1 0.619197301689095 NA NA NA NA NA 0 0:0:0:8
Atp4a 7 30718999 74 4 2 0.932652771472931 0.514289023983112 0.57942865019484 0.548305221115277 NA NA NA NA 0.436699301474651 0 0:0:2:8
Abpa 7 34021897 78 1 1 0.771671693102689 0.14388175538336 0.282487241765817 0.121138611359264 NA NA NA NA 1 0 1:6:2:8
Vmn2r59 7 42058884 77 3 0 0.392695903778076 0.381574588619885 1 0.381574588619885 NA NA NA NA NA 0 0:0:0:7
Gm2381 7 42820080 73 4 3 0.775875091552734 0.273777031985232 0.225337038588581 0.398665037512478 NA NA NA NA 0.0413875553079275 0 3:10:0:0
Vsig10l 7 43464137 75 2 3 0.99376106262207 0.890221829851893 0.989241033082532 0.809568535009693 NA NA NA NA 1 0 0:0:3:7
Klk1b9 7 43979372 75 2 3 0.99376106262207 0.890221829851893 0.989241033082532 0.809568535009693 NA NA NA NA 1 0 0:0:3:7
Kcna7 7 45409690 74 4 2 0.932652771472931 0.651732768908921 0.937392315717712 0.548305221115277 NA NA NA NA 1 0 0:0:2:8
Mrgprx2 7 48482918 71 9 0 0.421875 0.49869893127412 1 0.49869893127412 NA NA NA NA NA 0 0:3:0:0
Herc2 7 56113210 71 9 0 0.421875 0.49869893127412 1 0.49869893127412 NA NA NA NA NA 0 0:3:0:0
Fan1 7 64363199 75 2 3 0.99376106262207 0.890221829851893 0.989241033082532 0.809568535009693 NA NA NA NA 1 0 0:0:3:7
Apba2 7 64714515 74 4 2 0.932652771472931 0.651732768908921 0.937392315717712 0.548305221115277 NA NA NA NA 1 0 0:0:2:8
Lrrk1 7 66292336 72 5 3 0.775875091552734 0.284899579293875 0.270639576160239 0.385816723356709 NA NA NA NA 0.157162704342834 0 3:10:0:0
Lrrc28 7 67618085 71 9 0 0.421875 0.49869893127412 1 0.49869893127412 NA NA NA NA NA 0 0:3:0:0
Igf1r 7 68165155 77 2 1 0.785391807556152 0.418057622685798 0.642274083592861 0.381574588619885 NA NA NA NA 1 0 0:0:1:7
Iqgap1 7 80723879 76 2.5 1.5 0.775875091552734 0.263548701187647 0.270639576160239 0.282487241765817 NA NA NA NA NA 0 0:0:2:8
Ap3b2 7 81464629 53 18 9 0.970491086521519 0.485498193572835 0.865765090211894 0.258639579264913 NA NA NA NA 1 0 9:22:0:0
Odz4 7 96774020 75 3 2 0.932652771472931 0.824613173018458 0.906287087141117 0.798477436833845 NA NA NA NA 1 0 0:0:2:8
Myo7a 7 98112150 76 3 1 0.785391807556152 0.933732422597 0.78398307455507 0.976388561141215 NA NA NA NA 0 0 0:0:1:7
Kcne3 7 100184439 76 3 1 0.785391807556152 0.933732422597 0.78398307455507 0.976388561141215 NA NA NA NA 0 0 0:0:1:7
Art5 7 102097957 76 2 2 0.953690052032471 0.343923747182021 0.346766310070716 0.411712573212414 NA NA NA NA 0.233071829147477 0 0:0:2:7
Nup98 7 102152453 73 4 3 0.775875091552734 0.475588620941714 0.839034801299441 0.33899258835941 NA NA NA NA 1 0 3:10:0:0
Olfr652 7 104564337 76 2 2 0.953690052032471 0.343923747182021 0.346766310070716 0.411712573212414 NA NA NA NA 0.233071829147477 0 0:0:2:7
Olfr672 7 104996703 76 2 2 0.953690052032471 0.343923747182021 0.346766310070716 0.411712573212414 NA NA NA NA 0.233071829147477 0 0:0:2:7
Olfr470 7 107845116 74 5 1 0.736304819583893 0.377307640775195 0.707154788901976 0.353812717157834 NA NA NA NA 0.991740500662359 0 0:0:1:8
Olfr494 7 108367789 73 7 0 0.421875 0.471734836777197 1 0.471734836777197 NA NA NA NA NA 0 0:3:0:0
Olfr502 7 108523082 72 5 3 0.775875091552734 0.35924789771176 0.839034801299441 0.221667595458801 NA NA NA NA 1 0 3:10:0:0
Trim66 7 109460695 55 19 6 0.92044274811633 0.435656343927989 0.802271277583763 0.2355864022675 NA NA NA NA 0 0 6:16:0:0
Pik3c2a 7 116346247 73 7 0 0.421875 0.471734836777197 1 0.471734836777197 NA NA NA NA NA 0 0:3:0:0
Dnahc3 7 119967905 75 4 1 0.785391807556152 0.818598496434893 0.78398307455507 0.676449980060127 NA NA NA NA 0 0 0:0:1:7
Spn 7 127136208 75 3 2 0.932652771472931 0.189122162562477 0.161772865590505 0.287706812035802 NA NA NA NA 0.16225521450478 0 0:0:2:8
Dctpp1 7 127257193 75 3 2 0.932652771472931 0.189122162562477 0.161772865590505 0.287706812035802 NA NA NA NA 0.16225521450478 0 0:0:2:8
Prr14 7 127476643 76 4 0 0.932652771472931 0.275887806867751 1 0.275887806867751 NA NA NA NA NA 0 0:0:2:8
Tacc2 7 130577509 74.5 3.5 2 0.932652771472931 0.189122162562477 0.161772865590505 0.287706812035802 NA NA NA NA 0.16225521450478 0 0:0:2:8
E030019B06Rik 7 139605655 67 12 1 0.533935546875 0.29918951583407 0.770025680717595 0.211688640164431 NA NA NA NA 0 0 1:6:0:0
Lrrc56 7 141206453 74 4 2 0.932652771472931 0.165789706800104 0.161772865590505 0.248698889202267 NA NA NA NA 0.237510238696642 0 0:0:2:8
Lrdd 7 141440813 68 11 1 0.533935546875 0.413893252846359 0.770025680717595 0.310486770119189 NA NA NA NA 0 0 1:6:0:0
Defb34 8 19123768 76 2 2 0.932652771472931 0.635424003567439 0.674444709550022 0.653109457613646 NA NA NA NA 0.513654333424891 0 0:0:2:8
Slc7a2 8 40908531 76 2 2 0.932652771472931 0.635424003567439 0.674444709550022 0.653109457613646 NA NA NA NA 0.513654333424891 0 0:0:2:8
Fat1 8 45051168 74 4 2 0.932652771472931 0.392793962132395 0.661576653159122 0.339781576464765 NA NA NA NA 1 0 0:0:2:8
Sugp1 8 70052638 73 4 3 0.771671693102689 0.566344729404345 0.595589512365161 0.607062479961519 NA NA NA NA 0.371707153169708 0 3:6:0:8
Olfr372 8 72058162 75 3 2 0.932652771472931 0.569877772261974 0.674444709550022 0.565735798381649 NA NA NA NA 0.757701403295952 0 0:0:2:8
Arhgap10 8 77450824 73 4 3 0.771671693102689 0.566344729404345 0.595589512365161 0.607062479961519 NA NA NA NA 0.371707153169708 0 3:6:0:8
Usp38 8 81014150 76 4 0 0.392695903778076 0.532372674108869 1 0.532372674108869 NA NA NA NA NA 0 0:0:0:7
Slc6a2 8 92992801 77 3 0 0.392695903778076 0.538884587715354 1 0.538884587715354 NA NA NA NA NA 0 0:0:0:7
Gpr114 8 94934157 72 8 0 0.421875 0.0992212983888373 1 0.0992212983888373 NA NA NA NA NA 0 0:3:0:0
Fam65a 8 105618114 71 5 4 0.921873092651367 0.603505992727481 0.987923083809101 0.416075677249916 NA NA NA NA 1 0 4:10:0:0
Pkd1l3 8 109623649 71 8 1 0.244025230407715 0.503265716047964 0.916957725310973 0.416075677249916 NA NA NA NA 0 0 1:10:0:0
Osgin1 8 119445472 71 4 5 0.98027229309082 0.575205052160559 0.887701344303604 0.416075677249916 NA NA NA NA 1 0 5:10:0:0
1300018I17Rik 8 123246748 56 23 1 0.0634764397982508 0.709279665941349 0.944835036127189 0.678340096642186 NA NA NA NA 0 0 1:16:0:0
Mmp13 9 7274032 75 4 1 0.392695903778076 0.5205771268033 0.78398307455507 0.37070716894495 NA NA NA NA 0 0 0:0:1:7
Prkcsh 9 22010251 76 2 2 0.530010041518835 0.873504156398126 0.83616902343708 0.915975292766907 NA NA NA NA 0 0 2:6:0:8
Igsf9b 9 27334582 76 2 2 0.530010041518835 0.873504156398126 0.83616902343708 0.915975292766907 NA NA NA NA 0 0 2:6:0:8
Pus3 9 35566422 75 3 2 0.975511961049051 0.626644299501083 0.83616902343708 0.553371703090355 NA NA NA NA 1 0 2:6:3:8
CT025680.2 9 39046700 68 9 3 0.775875091552734 0.318625564024396 0.818601778731649 0.229269549564824 NA NA NA NA 1 0 3:10:0:0
Dscaml1 9 45732134 77 3 0 0.392695903778076 0.846615243362494 1 0.846615243362494 NA NA NA NA NA 0 0:0:0:7
2010321M09Rik 9 64983990 76 3 1 0.530010041518835 0.646388200757481 0.320005667423316 0.915975292766907 NA NA NA NA 0 0 1:6:1:8
Rbpms2 9 65651666 43 28 9 0.663967005547416 0.721947562918254 0.518372024444137 0.366814567906404 NA NA NA NA 0 0 9:34:0:0
C2cd4a 9 67831563 76 2 2 0.953690052032471 0.920457599045433 0.857168315598867 0.976388561141215 NA NA NA NA 0 0 0:0:2:7
Scg3 9 75669335 69 8 3 0.929443359375 0.420951936004801 0.785873717044183 0.347778019618416 NA NA NA NA 1 0 3:7:0:0
Col12a1 9 79693494 77 1 2 0.771671693102689 0.772254141271021 0.954797525312266 0.648176798407902 NA NA NA NA 1 0 2:6:1:8
Ctsh 9 90061582 75 4 1 0.785391807556152 0.820216281008818 0.918721315574596 0.809568535009693 NA NA NA NA 1 0 0:0:1:7
2610101N10Rik 9 95484443 75 3 2 0.771671693102689 0.883134784019452 0.83616902343708 0.726524719719122 NA NA NA NA 0 0 2:6:1:8
